,sigma1_crev_clean,sigma2_crev_clean
331,105004.4983407875,-88052.97621092464
332,99774.14120768504,-102517.37058461706
333,92702.58212467232,-117497.072193346
334,82852.78483528193,-133154.61536846939
335,70124.57266410925,-148966.82176427497
336,55219.94800151582,-164091.30213734735
337,8517.894957063225,-199897.42351150073
338,-722.4931436505285,-205173.5422477359
339,-3673.304428599222,-206174.38601248094
340,1464.0333228264644,-202108.32488183893
341,15279.103767448294,-192328.27037556242
342,37014.16004035724,-176416.35192944785
343,65528.204490896635,-153496.70376690576
344,97601.64973744945,-124153.70745577847
345,128174.12579005797,-91628.03794131463
346,154341.24175779254,-58735.715484217
347,174602.40457427886,-27935.78467597872
348,188435.55541172074,-1063.031341836293
349,195937.71496496236,20664.536529866396
350,197778.08544515568,36882.170388177256
351,194772.32116558106,47968.80127983958
352,187529.20177477424,54506.97498328322
353,176793.0694104591,57317.14250131479
354,4404.703319684413,-107124.0975143203
355,28445.383833164364,-98081.0732161847
356,57055.081693053726,-83139.46814132576
357,84453.51777534437,-66112.83609848886
358,108566.8329274377,-49302.992133319516
359,129302.95515185672,-33356.27930895255
360,146998.723563997,-18141.170000583028
361,162574.07740393758,-2483.6942673241283
362,175259.7753876543,12062.790450900953
363,185445.09642596412,25723.1064926057
364,193092.57692654376,37976.32655503551
365,198452.24643393807,48840.28812478183
366,201626.199639991,58088.150593708124
367,202792.5805852341,65381.43923346246
368,202139.44608835265,70453.44047017778
369,199736.73561636795,72574.54351886311
370,196148.15242341114,72509.83714799496
371,191475.3370538436,70056.52180835373
372,207172.15807872033,82123.44249439733
373,199001.64843041825,72558.73167511178
374,191234.277848221,65232.3539567734
375,183988.47332316844,57864.04383489742
376,178385.55997555767,48771.85248981808
377,173719.64467980678,34604.55697523424
378,169258.36359490294,15885.608136430383
379,163158.45504986247,-6829.8605217156
380,154457.99585462234,-30945.819434534744
381,141920.12411904935,-56569.74344705178
382,125430.1545083615,-82966.22034528447
383,105322.25148803399,-109165.8954995536
384,82570.63728487554,-134077.71183875657
385,18575.409734369532,-189257.21480372065
386,6144.060924739257,-198385.1188685544
387,1310.7861672977015,-202252.6581722204
388,4496.121851668591,-200977.06116766616
389,16178.338553541602,-193983.77822124775
390,35182.86358559177,-181208.10473860078
391,59716.92174551171,-162650.21246449408
392,86698.3988180813,-139371.29092114532
393,114122.05976481382,-112005.7993427448
394,138478.69978466886,-83632.3162956987
395,158666.6122833784,-55671.4573848801
396,173538.55028733992,-30033.61707828677
397,182549.20803124856,-8256.53267028855
398,185853.60506568025,8638.791961991083
399,184070.6682163963,20583.879916903083
400,177770.629383586,27822.58603240525
401,167726.16423688235,31095.361922719516
402,60864.73610166524,-78074.25614486367
403,86236.81001601864,-62530.384000471575
404,108569.22862665248,-47833.11791084893
405,128350.20430455019,-34089.80515491596
406,145233.75595027237,-21553.947287635907
407,159866.18921522232,-9400.935806395573
408,172936.41805113028,3588.6042617635976
409,183719.16255851087,16000.651736857253
410,192530.53892925056,28099.98726048747
411,199104.09560926602,39144.0830720347
412,203704.84294345835,49250.80877797661
413,206296.74211505122,57929.73815565338
414,207023.63560954807,64777.62205067236
415,205930.7065773263,69590.53726039211
416,203136.55248857127,71495.3289457487
417,199029.27264945523,71180.55601180681
418,193682.45486125688,68536.37660315586
419,187204.8565325431,63800.5199494673
420,214194.6617253538,112932.88086619975
421,209694.21009656804,113396.05105119321
422,205245.03395837964,115020.51161469881
423,201774.85957317072,115929.58676731057
424,200206.4590035428,112823.92122128446
425,200475.61146143472,103354.06157767973
426,201115.15460482863,87606.07029379213
427,199939.15272372792,66816.680841387
428,194944.90101118537,41745.23882881584
429,184617.5654221814,12315.465221782273
430,168196.22936552798,-20903.138142301526
431,146140.25984416145,-55605.66966801429
432,117872.26131769158,-91906.7450738809
433,87770.17658382107,-124610.20146714989
434,19021.218449526423,-186515.21893615904
435,10879.260077737606,-194402.03507385345
436,11970.214212485662,-196010.618832462
437,21137.438705077453,-191960.534383557
438,36866.02040775544,-182607.3108087448
439,57327.58889030671,-168221.5056082694
440,80082.54603898176,-149658.94901073183
441,103034.70865030045,-127998.13769594333
442,124386.41074247936,-104651.37908449782
443,143021.75800343062,-80740.45385646391
444,157521.11942489713,-57979.40749664014
445,166950.6573034369,-37920.54841441812
446,170939.81672312279,-21961.463087254655
447,169872.4661784308,-10494.299610284826
448,164112.2538645994,-3653.0973208122305
449,154253.56782910967,-1096.6675046138116
450,87832.012581202,-59107.04146297966
451,109582.0017559997,-44573.96294129595
452,128435.63544992259,-32117.758921017776
453,144548.7538576115,-21403.66299202219
454,158557.58592067467,-11603.526025397427
455,170702.92564424808,-2026.9665424763225
456,181584.71877405146,8538.869329087509
457,190622.93731159705,18959.535099860965
458,198091.7680954655,29516.38481390926
459,203597.01224267998,39319.14088732147
460,207330.0502782649,48406.6907743116
461,209289.28626719868,56382.549849883464
462,209485.53411507566,62774.06667832984
463,207965.57751398254,67109.50204831378
464,204718.7257572814,68552.65089489026
465,199972.4047253668,67942.31403949887
466,193877.97249139205,64987.68161987132
467,186395.23099479312,59844.33536252349
468,177352.6640577643,52515.00625209271
469,167297.03636052867,45187.206960241994
470,218175.11211089737,132471.7243704137
471,215633.46904796324,139446.3007059959
472,213063.01389207857,145951.57857870645
473,211677.21959565664,149690.96344912934
474,212564.80348950866,148589.0678592541
475,215230.3426385864,141622.2493406938
476,218134.4803156437,129958.79934203572
477,219491.5903905692,114258.32131448234
478,217843.57189935146,94868.77878196942
479,211657.21275497886,69397.79079957116
480,200294.46344136551,39083.10547642024
481,181402.82348882052,1367.65611747808
482,155067.7642472785,-40288.34677966568
483,122410.31430688285,-82720.11413253815
484,88072.59982321563,-120566.3245753891
485,58018.805533656414,-150048.1886077929
486,36697.58186663833,-170193.64594049082
487,25754.559376319536,-181840.20700563438
488,23768.693685069244,-187031.77918123716
489,29734.69711420973,-186419.58882958416
490,41998.17566510574,-180522.03987683187
491,58322.33983665063,-170204.91252680868
492,76668.34599245568,-156246.0747301075
493,95268.9013731388,-139650.73573834237
494,113090.23458050028,-121200.43378912503
495,129100.06236730417,-101837.63130619776
496,142029.34547659435,-82832.78391662907
497,150519.09779390966,-65875.68478636122
498,154013.15465860863,-52300.251287601226
499,152589.2774965786,-42764.07026865656
500,146517.40272247454,-37730.83026323507
501,136014.98536354912,-36472.41279216425
502,87225.29036155369,-58807.558330196596
503,109628.67066062268,-43001.853634221516
504,128938.51508796685,-29340.775188066604
505,144921.3435238769,-18773.629261976464
506,158551.18509427138,-10120.645049562198
507,170211.56242456503,-2538.049525860275
508,180167.49193817953,4814.144731465669
509,189000.7774168586,13155.559334624326
510,196327.72056860244,21649.7193709399
511,202277.29603510053,30448.515664790466
512,206631.6995510804,38926.42946228558
513,209388.8550087174,46841.07282591086
514,210563.99165442656,53876.619004835826
515,210142.2445262241,59570.48014511775
516,208114.29085281014,63261.520665203265
517,204188.46938489215,64189.05555653265
518,198819.72074762802,62965.156189273286
519,191898.3338038697,59391.41094453618
520,183283.9338693854,53505.62227226845
521,172744.33540283507,45169.352427615384
522,160631.8874146364,36428.74254924781
523,147084.01418067276,28574.36861426836
524,221293.66579782992,140556.40656736965
525,220704.76584853855,151969.34651691647
526,220188.00215438384,161159.43148271003
527,221158.81513844943,165983.47483778815
528,223979.72012787644,165852.42635289283
529,227757.82076752832,161043.0638659165
530,231065.245619025,152937.57967562028
531,232767.92118600273,141350.6283787564
532,231881.0034299639,126840.83585294947
533,227610.1608476087,107244.95222368825
534,219411.16308627097,82292.98923158976
535,206325.10951463284,51189.50933892433
536,185984.49334630667,11746.10549449244
537,156537.11331054464,-34997.4420892225
538,121204.31271308984,-81331.52846620031
539,86507.38940538275,-120388.00088072645
540,59931.31343025417,-148176.0200753211
541,44170.009767818134,-165639.43995376257
542,38531.757697752226,-174928.77290404198
543,41065.27298157553,-177815.88797756535
544,49417.479222627386,-175687.12947297018
545,61536.62626833449,-169444.0447633416
546,75486.99207511176,-159947.2342579327
547,89917.82730166579,-147986.00381287874
548,104032.33745983415,-134188.8942917645
549,116942.9429464053,-119323.33846768577
550,127426.8692055557,-104481.35632141092
