,sigma1_nocrev_clean,sigma2_nocrev_clean
273,-13104.432718895798,-181077.6989046645
274,12878.212382117272,-167233.8293477691
275,82918.69427751814,-74567.34931559578
276,42591.35470734371,-113762.01650200851
277,9540.112636488862,-141826.14586443407
278,-12317.019604365123,-159421.41004481894
279,-26196.093202725155,-170392.06967858318
280,-33117.99820640878,-175711.10928120586
281,-35105.558502376516,-176551.4674817976
282,-32356.47994780366,-173049.0917493172
283,-10889.036501634313,-152156.59994696564
284,14178.406334769868,-163335.11969880736
285,-3425.823266347754,-173742.13006293398
286,-12155.682534791544,-179052.68374352856
287,-10823.004290801851,-179508.65617750515
288,393.99926201022754,-174919.28133834596
289,20197.88133355949,-164749.60032134523
290,103360.51840566084,-56871.478719071776
291,67642.8190745185,-95825.83996938616
292,33918.95355221788,-127319.18986050451
293,6655.767078122386,-149866.47640629672
294,-12312.710111337408,-164372.26617978344
295,-24259.53199706861,-172780.7777706933
296,-30264.92706363779,-176076.35571008708
297,-31337.32096275837,-174909.14222633367
298,-27441.960327670662,-169339.92554492172
299,-17501.047137409827,-158836.7220347208
300,-1317.5500694663642,-143085.2573910989
301,133178.3754406491,43413.32907412159
302,44965.77316828048,-138049.62380666632
303,31434.197299802123,-150708.21909442465
304,27354.88036664619,-156777.7314257096
305,32286.99286945696,-156753.9877658855
306,44900.53888035522,-150893.8600160073
307,63151.24053861441,-139664.59506731463
308,90206.84119526202,-77823.49323469958
309,60486.64095943133,-109222.62962912221
310,34064.922751560414,-133601.73378298036
311,11012.60252531046,-152215.56809879973
312,-5418.191670484768,-163997.45837304217
313,-16124.285143006564,-170330.70191585986
314,-21421.63725175087,-171742.16598655144
315,-21935.83968864153,-168721.46918754512
316,-16987.35843161818,-161108.03727616416
317,-5440.40038260819,-148086.53655824414
318,13693.896988483786,-128670.58463816694
319,91821.9636574495,-102653.90779696044
320,81148.36761544441,-117649.2284724623
321,78274.60494734094,-125023.20624284077
322,82551.19515803413,-125510.0271757645
323,92559.64634975232,-119981.64200950132
324,106271.15136857974,-109679.04567198188
325,83443.57912248942,-91232.30525178868
326,61138.572448471554,-114881.34124726531
327,40021.49992493284,-134324.17529139903
328,7922.693476867149,-158038.4187357754
329,-1278.0045374211477,-162332.826208636
330,-5243.554844891085,-161671.17992263928
331,-4934.374728798837,-156767.4565016848
332,853.617827039503,-146994.96110553975
333,133543.7115905981,-16663.51341760003
334,131137.8134387894,-17492.345580372363
335,136977.6559129034,-67539.78691103615
336,128972.82575078432,-82502.08836058337
337,125399.49762362747,-91360.45663440884
338,127683.46171537493,-92845.58535730615
339,27597.515730276384,-145533.8845114597
340,20799.933830499118,-147393.63719353735
341,18460.28048035012,-144508.56445006153
342,20363.702954438624,-137201.0050669041
343,91093.20666019338,-66257.46985766628
344,88066.26744737307,-68888.63752836347
345,166117.0164868525,-53960.3367999579
346,163283.33799337083,-61707.81675625009
347,58969.38124539689,-123302.5121897794
348,52931.61886104522,-125716.86716261844
349,49930.21979743065,-124025.87622060659
350,40624.604378283206,-111696.85462044846
351,39486.898252045015,-114242.07871658681
352,54104.96517893703,-106737.95688975646
353,84109.29166528155,-102036.36847972541
354,81889.30026843803,-102351.39220487687
355,81163.06739695756,-99612.22211780418
356,11248.328762160883,-133868.499411559
357,-5198.835649459928,-144123.23543575802
358,-2006.5806644638214,-146069.07450701005
359,16026.469972104387,-139543.23082153112
360,45008.8351138005,-122961.40106455411
361,80743.45857793586,-95700.08729151358
362,97340.9337157137,-58320.13673341699
363,89650.58186120795,-72825.16864118866
364,95741.75688446389,-89986.44836301179
365,99884.0723101464,-85412.96431687994
366,124185.85196808162,2451.4956096269307
367,-422.9436504514888,-141612.7710940428
368,-30504.29690504344,-157272.48783646387
369,-38530.77401850821,-165087.2191647006
370,-30577.28457134537,-166960.61832676758
371,-10813.955518756935,-161757.79930444792
372,19123.4174358865,-147350.34762846492
373,57202.74289340565,-122041.56253836876
374,99150.71563489792,-51370.72621431034
375,78824.32771850476,-73544.68044748716
376,68687.45040297213,-88030.10907776783
377,65886.0575107821,-97016.37930117203
378,69327.67180155501,-100399.64393425365
379,75498.74258246848,-100240.08995854396
380,112133.12693640403,-25550.964705617494
381,101271.56661147851,-42121.65147813846
382,91898.28072854507,-56139.89362375007
383,69634.66381347048,-86122.891355286
384,69793.35594823967,-85329.63191450045
385,56177.55767172744,-106020.43477257327
386,-1223.4634386797989,-140214.61229064374
387,-42899.47710041878,-160921.76542573416
388,-60071.19861044789,-172808.50654886512
389,-60015.84986854063,-179949.85008866104
390,-48552.723340967495,-182030.82843068783
391,-28142.685008715867,-177660.91566457588
392,1174.5104931583483,-165079.77618747152
393,39440.16479072383,-142011.23996517295
394,97582.96614279937,-55312.269483784985
395,67124.92180683742,-84487.11108569383
396,47434.32535356285,-104248.2204019782
397,41349.03920890135,-113931.14286140777
398,43027.34478579828,-117957.96071325298
399,50754.51142861441,-116767.20427392583
400,97860.6209089928,-53572.996682641766
401,84085.50280901407,-70903.87462468595
402,73875.05551438493,-83509.7202204226
403,65543.3053242972,-93337.45280372919
404,59403.49818201733,-100959.86136586181
405,61321.50842086064,-98453.32402893675
406,71148.24982828482,-88588.28135067139
407,5192.784109693748,-131494.44591261074
408,-47796.41946884249,-158080.49708741275
409,-71824.66719623475,-173555.69872367813
410,-76945.53812069476,-184695.60677665187
411,-71722.94028216759,-191856.775137303
412,-59003.61650975245,-193960.9412073464
413,-38835.98199488768,-189992.92952906975
414,-10479.016364162031,-178494.39605941344
415,26880.56979532029,-157312.42246800585
416,70761.45223492062,-85913.49715554998
417,40252.29125764864,-112335.44486051216
418,24031.741076491962,-127118.25178532237
419,20256.33351286144,-133383.7384170773
420,23437.24657561569,-134798.9239845557
421,102433.23461711204,-56529.63587594968
422,84653.23085064326,-77488.98083992135
423,69974.65413240872,-93611.64426193798
424,59898.743884020965,-104398.44673248882
425,52310.58330384464,-112120.22891182682
426,51055.165232240004,-113145.55215167669
427,54245.40497616133,-109447.07585743473
428,88472.62823431735,-65050.67286787164
429,18009.308154155086,-115933.37897271576
430,-47867.81662743337,-150209.56211680916
431,-77206.66453904039,-169163.99945195287
432,-85185.2712430029,-183994.6153300719
433,-83919.7393802732,-195190.24305217346
434,-76789.72963379193,-201906.43912009886
435,-63875.73575145357,-203678.56203654117
436,-44448.15069140922,-199760.88111945443
437,-17287.462919590747,-188901.7692727169
438,51513.05722934546,-110577.65643862085
439,25396.162982364665,-131244.59176288976
440,11237.380370738043,-142581.11553039725
441,7329.483451152279,-147085.58558291628
442,9355.552383209812,-147486.85583179115
443,93206.93118902533,-75888.17641028135
444,75136.20802657976,-95425.58451452339
445,60643.2798763401,-109949.36858939804
446,51044.330772315145,-119110.46637762338
447,44124.38204496087,-125224.66891587977
448,42316.809932933356,-125658.0882341699
449,45144.42112765258,-122415.15650848582
450,37141.72792352344,-92621.73597945573
451,-45071.69386787541,-137722.31731860022
452,-79972.60066346108,-160673.68875837943
453,-88500.59297050873,-179220.20782169315
454,-89157.15899249057,-194104.43258032337
455,-85677.50461526483,-204571.7559693416
456,-78110.69343546344,-210647.39020207783
457,-65573.73714871194,-211981.48724778986
458,-47083.59466277197,-208011.9154698255
459,43644.933217812526,-126651.02803421198
460,2085.048700891435,-155925.93191557028
461,1733.3470472201589,-156083.5466863835
462,86637.63361849995,-90621.70780010904
463,69372.99321310742,-108309.21525872564
464,55801.1603847471,-121081.5433298498
465,46929.42075448431,-128847.06949998983
466,40273.66450764932,-133964.70869663206
467,37602.32859535326,-135484.24901998663
468,37038.161674221104,-135061.8474239793
469,38758.065033301435,-132612.9020028967
470,41843.209286774276,-128917.17765327467
471,-41054.68063608524,-120435.09530248921
472,-82342.78972332175,-147531.36200152707
473,-89214.70175204054,-170982.83551760647
474,-90085.81022829059,-189196.03382789585
475,-88777.20649802008,-203195.52077990922
476,-84911.58952890683,-212910.1223758996
477,-77526.21152773574,-218413.0445063666
478,-65507.070187212754,-219360.35702817808
479,4469.012408173454,-159506.5471885064
480,1172.9474697933038,-160005.62667720817
481,3737.8359850419947,-156519.81931104598
482,99761.46064041904,-82360.97663618057
483,82369.18645440931,-101565.86180685852
484,66641.06388612385,-117174.40755797774
485,54152.42966939702,-128426.47835300723
486,45802.45294019632,-135143.33772908527
487,39642.05403281489,-139311.48331995483
488,36925.076504174096,-140345.95840284738
489,36271.635128137474,-139522.15581271495
490,37667.360390248665,-136952.81484057795
491,40588.20870740057,-133130.6945526018
492,-84810.13718300813,-127731.6251435196
493,-86522.2504360712,-158842.9281916127
