crev_maps,temp_maps,temp_model,viscosity,strain_experiments,correlation,error
all,DJF,CARRA,1,Exp0,Gaussian,0.065685
all,DJF,CARRA,1,Exp1,Gaussian,0.042674
all,DJF,CARRA,1,Exp2,Gaussian,0.082370
all,DJF,CARRA,1,Exp3,Gaussian,0.052615
all,DJF,CARRA,1,Exp4,Gaussian,0.050431
all,DJF,CARRA,1,Exp5,Gaussian,0.067021
all,DJF,CARRA,1,Exp6,Gaussian,0.072635
all,DJF,CARRA,1,Exp7,Gaussian,0.052434
all,DJF,CARRA,1,Exp8,Gaussian,0.066520
all,DJF,CARRA,1,Exp9,Gaussian,0.049819
all,DJF,CARRA,1,Exp0,Exponential,0.061906
all,DJF,CARRA,1,Exp1,Exponential,0.048872
all,DJF,CARRA,1,Exp2,Exponential,0.065651
all,DJF,CARRA,1,Exp3,Exponential,0.049535
all,DJF,CARRA,1,Exp4,Exponential,0.049715
all,DJF,CARRA,1,Exp5,Exponential,0.076299
all,DJF,CARRA,1,Exp6,Exponential,0.066916
all,DJF,CARRA,1,Exp7,Exponential,0.047257
all,DJF,CARRA,1,Exp8,Exponential,0.029449
all,DJF,CARRA,1,Exp9,Exponential,0.031541
all,JJA,RACMO,0,Exp0,Gaussian,0.043028
all,JJA,RACMO,0,Exp1,Gaussian,0.052569
all,JJA,RACMO,0,Exp2,Gaussian,0.066292
all,JJA,RACMO,0,Exp3,Gaussian,0.047144
all,JJA,RACMO,0,Exp4,Gaussian,0.041291
all,JJA,RACMO,0,Exp5,Gaussian,0.061978
all,JJA,RACMO,0,Exp6,Gaussian,0.064152
all,JJA,RACMO,0,Exp7,Gaussian,0.061138
all,JJA,RACMO,0,Exp8,Gaussian,0.049293
all,JJA,RACMO,0,Exp9,Gaussian,0.047804
all,JJA,RACMO,0,Exp0,Exponential,0.063449
all,JJA,RACMO,0,Exp1,Exponential,0.033765
all,JJA,RACMO,0,Exp2,Exponential,0.040824
all,JJA,RACMO,0,Exp3,Exponential,0.039400
all,JJA,RACMO,0,Exp4,Exponential,0.038803
all,JJA,RACMO,0,Exp5,Exponential,0.056780
all,JJA,RACMO,0,Exp6,Exponential,0.049444
all,JJA,RACMO,0,Exp7,Exponential,0.026384
all,JJA,RACMO,0,Exp8,Exponential,0.039600
all,JJA,RACMO,0,Exp9,Exponential,0.055866
all,JJA,RACMO,1,Exp0,Gaussian,0.040563
all,JJA,RACMO,1,Exp1,Gaussian,0.050073
all,JJA,RACMO,1,Exp2,Gaussian,0.035177
all,JJA,RACMO,1,Exp3,Gaussian,0.036809
all,JJA,RACMO,1,Exp4,Gaussian,0.032210
all,JJA,RACMO,1,Exp5,Gaussian,0.052004
all,JJA,RACMO,1,Exp6,Gaussian,0.059751
